quadrat,square,x,y,block,strip,density,cc,Cotyledons,2.5cm,5cm,10cm,15cm,20cm,25cm,counter
131,"2,6",2,6,1,13,50000,ldshoots,1,6,3,2,0,0,0,Abbe Hamilton
131,"3,4",3,4,1,13,50000,ldshoots,1,36,5,13,1,0,0,Abbe Hamilton
131,"3,5",3,5,1,13,50000,ldshoots,0,9,8,1,0,0,0,Abbe Hamilton
131,"3,6",3,6,1,13,50000,ldshoots,1,15,12,11,0,0,0,Abbe Hamilton
131,"4,4",4,4,1,13,50000,ldshoots,0,1,6,2,0,0,0,Abbe Hamilton
131,"4,5",4,5,1,13,50000,ldshoots,0,6,9,8,0,0,0,Abbe Hamilton
131,"4,6",4,6,1,13,50000,ldshoots,3,7,4,0,0,0,0,Abbe Hamilton
136,"1,4",1,4,1,13,50,ldshoots,0,0,0,0,0,0,0,
136,"1,5",1,5,1,13,50,ldshoots,0,0,0,0,0,0,0,
136,"1,6",1,6,1,13,50,ldshoots,0,0,0,0,0,0,0,
136,"2,4",2,4,1,13,50,ldshoots,0,0,0,0,0,0,0,
136,"2,5",2,5,1,13,50,ldshoots,0,0,0,0,0,0,0,
136,"2,6",2,6,1,13,50,ldshoots,0,0,0,0,0,0,0,
136,"3,4",3,4,1,13,50,ldshoots,0,0,0,0,0,0,0,
136,"3,5",3,5,1,13,50,ldshoots,0,0,0,0,0,0,0,
136,"3,6",3,6,1,13,50,ldshoots,0,0,0,0,0,0,0,
136,"4,4",4,4,1,13,50,ldshoots,0,0,0,0,0,0,0,
136,"4,5",4,5,1,13,50,ldshoots,0,0,0,0,0,0,0,
136,"4,6",4,6,1,13,50,ldshoots,0,0,0,0,0,0,0,
137,"1,4",0,4,1,13,500,ldshoots,0,0,0,0,0,0,0,Abbe Hamilton
137,"1,5",1,5,1,13,500,ldshoots,0,1,1,0,0,0,0,Abbe Hamilton
137,"1,6",0,6,1,13,500,ldshoots,0,0,0,0,0,0,0,Abbe Hamilton
137,"2,4",0,4,1,13,500,ldshoots,0,0,0,0,0,0,0,Abbe Hamilton
137,"2,5",2,5,1,13,500,ldshoots,0,0,1,0,0,0,0,Abbe Hamilton
137,"2,6",2,6,1,13,500,ldshoots,0,0,0,0,0,0,0,Abbe Hamilton
137,"3,4",3,4,1,13,500,ldshoots,0,0,0,0,0,0,0,Abbe Hamilton
137,"3,5",3,5,1,13,500,ldshoots,0,0,0,0,0,0,0,Abbe Hamilton
137,"3,6",3,6,1,13,500,ldshoots,0,0,0,0,0,0,0,Abbe Hamilton
